Year,Sector,Sub Sector,Organization,Operation,Operation Type,Address,City,Postal Code,GHG Emissions (kg),Energy Intensity (eWh/HDD/sq. ft)
2012,Public Hospital,Acute/Chronic Hospital,Brant Community Healthcare System,Brantford General Hospital,Administrative offices and related facilities,200 Terrace Hill St,Brantford,N3R1G9,2341442.42,22.78492228
2012,Public Hospital,Acute/Chronic Hospital,Brant Community Healthcare System,The Willet Urgent Care,Administrative offices and related facilities,238 Grand River N,Paris,N3L2N7,316598.2256,8.061479668
2012,Public Hospital,Acute/Chronic Hospital,Brockville General Hospital,BGH Charles Street Site,Facilities used for hospital purposes,75 Charles St.,Brockville,K6V1S8,2609734.668,22.33518197
2012,Public Hospital,Acute/Chronic Hospital,Brockville General Hospital,BGH Garden Street Site,Facilities used for hospital purposes,42 Garden St.,Brockville,K6V2C3,467181.6804,15.34441746
2012,Public Hospital,Acute/Chronic Hospital,Brockville General Hospital,BGH Charles Street Site,Administrative offices and related facilities,75 Charles St.,Brockville,K6V1S8,466080.3306,14.88995989
2012,Public Hospital,Acute/Chronic Hospital,Brockville General Hospital,BGH Garden Street Site,Administrative offices and related facilities,42 Garden St.,Brockville,K6V2C3,302750.0186,10.22960627
2012,Public Hospital,Acute/Chronic Hospital,Brockville General Hospital,BGH McDougal Building,Administrative offices and related facilities,70 Charles St.,Brockville,K6V1T3,19107.50746,5.176006439
2012,Public Hospital,Acute/Chronic Hospital,Burlington Joseph Brant Memorial,Joseph Brant Memorial Hospital,Facilities used for hospital purposes,1230 North Shore Blvd,Burlington,L7S1W7,3884148.461,22.30688952
2012,Public Hospital,Acute/Chronic Hospital,Cambridge Memorial Hospital,Cambridge Memorial Hospital,Facilities used for hospital purposes,700 Coronation Boulevard,Cambridge,N1R3G2,3063070.472,17.00281128
2012,Public Hospital,Acute/Chronic Hospital,Campbellford Memorial Hospital,Campbellford Memorial Hospital,Facilities used for hospital purposes,146 Oliver Road,Campbellford,K0L1L0,746198.0742,13.59864745
2012,Public Hospital,Acute Hospital,Carleton Place and District Memorial Hospital,Careton Place Ambulance Base,Facilities used for hospital purposes,37 Neelin Street,Carleton Place,K7C2J8,3520.882249,3.162943519
2012,Public Hospital,Acute Hospital,Carleton Place and District Memorial Hospital,Carleton Place and District Memorial Hospital,Facilities used for hospital purposes,211 Lake Avenue East,Carleton Place,K7C1J4,393350.3844,18.42508559
2012,Public Hospital,Acute Hospital,Clinton Public Hospital,Clinton Public Hospital,Facilities used for hospital purposes,98 Shipley Street,Clinton,N0M1L0,242597.844,10.72283141
2012,Public Hospital,Acute/Chronic Hospital,Cobourg Northumberland Hills Hospital,northumberland hills Hospital,Facilities used for hospital purposes,1000 DePalma Drive,Cobourg Ontario,K9A5W6,1984472.938,18.20318709
2012,Public Hospital,Acute/Chronic Hospital,Cochrane Lady Minto Hospital,The Lady Minto Hospital,Facilities used for hospital purposes,241 Eighth Street,Cochrane,P0L1C0,889253.969,17.6794784
2012,Public Hospital,Acute Hospital,Collingwood General and Marine Hospital,Collingwood General and Marine Hospital,Facilities used for hospital purposes,459 Hume Street,Collingwood,L9Y1W9,1636766.042,27.24480846
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,JMP,Facilities used for hospital purposes,840 McConnell Avenue,Cornwall,K6H5S5,653237.8756,14.29843894
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,Main,Facilities used for hospital purposes,510 - 2nd Street,Cornwall,K6H1Z6,821610.7691,12.12686364
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Tower,Facilities used for hospital purposes,840 McConnell Avenue,Cornwall,K6H5S5,892854.9318,14.29844118
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,JMP,Administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H5S5,24095.14467,14.29843901
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,Main,Administrative offices and related facilities,510 - 2nd Street,Cornwall,K6H1Z6,398384.1518,12.1268631
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,Steam Plant,Administrative offices and related facilities,510 - 2nd Street,Cornwall,K6H1Z6,18073.22734,8.869503248
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Annex,Administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H5S5,54560.68967,8.869503436
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Steam Plant,Administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H5S5,27280.33814,8.869500988
2012,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Tower,Administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H5S5,708154.3254,13.755459
2012,Public Hospital,Acute/Chronic Hospital,Cornwall St. Joseph's Continuing Care Centre,St. Joseph's Continuing Care Centre,Facilities used for hospital purposes,14 York Street,Cornwall,K6J5T2,225342.9952,5.853528008
2012,Public Hospital,Acute Hospital,Deep River and District Hospital,Deep River & District Hospital,Facilities used for hospital purposes,117 Banting Drive,Deep River,K0J1P0,262001.4505,13.0212917
2012,Public Hospital,Acute Hospital,Deep River and District Hospital,Deep River & District Hospital,Administrative offices and related facilities,117 Banting Drive,Deep River,K0J1P0,6687.672264,13.0212917
2012,Public Hospital,Acute/Chronic Hospital,Dryden Regional Health Centre,Ambulance Garage,Facilities used for hospital purposes,58 Goodall Street,Dryden,P8N1V8,18068.19313,6.434467033
2012,Public Hospital,Acute/Chronic Hospital,Dryden Regional Health Centre,Dryden Regional Health Centre,Facilities used for hospital purposes,58 Goodall Street,Dryden,P8N1V8,846360.2105,12.9394288
2012,Public Hospital,Acute/Chronic Hospital,Dunnville Haldimand War Memorial Hospital,Haldimand War Memorial Hospital,Facilities used for hospital purposes,206 John Street,Dunnville,N1A2P7,805738.4033,14.52182835
2012,Public Hospital,Acute/Chronic Hospital,Elliot Lake St. Joseph's General Hospital,St. Joseph's General Hospital Elliot Lake (SJGHEL),Facilities used for hospital purposes,70 Spine Road,Elliot Lake,P5A1X2,2172126.752,26.47678396
2012,Public Hospital,Acute/Chronic Hospital,Englehart and District Hospital,Englehart and District Hospital,Facilities used for hospital purposes,61-5th Street,Ontario,P0J1H0,222258.2606,10.12253836
2012,Public Hospital,Acute/Chronic Hospital,Englehart and District Hospital,Englehart and District Hospital,Administrative offices and related facilities,61-5th Street,Ontario,P0J1H0,13396.88787,10.12248392
2012,Public Hospital,Acute/Chronic Hospital,Englehart and District Hospital,Englehart and District Hospital,Administrative offices and related facilities,61A-5th Street,Ontario,P0J1H0,1157.08992,3.849036569
2012,Public Hospital,Acute/Chronic Hospital,Espanola General Hospital,Espanola General Hospital,Facilities used for hospital purposes,825 McKinnon,Espanola,P5E1R4,751413.6458,13.29737872
2012,Public Hospital,Acute/Chronic Hospital,Exeter South Huron Hospital Association,South Huron Hospital Association,Facilities used for hospital purposes,24 Huron Street West,Exeter,N0M1S2,193973.6117,11.91517503
2012,Public Hospital,Acute/Chronic Hospital,Exeter South Huron Hospital Association,South Huron Hospital Association,Facilities used for hospital purposes,23 Huron Street West,Exeter,N0M1S2,8595.96416,6.040573563
2012,Public Hospital,Acute/Chronic Hospital,Fergus Groves Memorial Community Hospital,Groves Memorial Community Hospital,Facilities used for hospital purposes,235 Union Street East,Fergus,N1M1W3,719741.6289,18.63728499
2012,Public Hospital,Acute/Chronic Hospital,Fergus Groves Memorial Community Hospital,Groves Memorial Community Hospital,Administrative offices and related facilities,235 Union Street East,Fergus,N1M1W3,154274.5849,10.03546115
2012,Public Hospital,Acute/Chronic Hospital,Fort Frances Riverside Health Care,Emo Health Center,Facilities used for hospital purposes,170 Front Street,Emo,P0W1E0,164705.2034,1.14116243
2012,Public Hospital,Acute/Chronic Hospital,Fort Frances Riverside Health Care,La Verendrye General Hospital,Facilities used for hospital purposes,110 Victoria Ave,Fort Frances,P7Z2B7,1215173.751,1.510704845
2012,Public Hospital,Acute/Chronic Hospital,Fort Frances Riverside Health Care,Rainy River Health Center,Facilities used for hospital purposes,109 4 Street,Rainy River,P0W1L0,175017.9415,0.927151562
2012,Public Hospital,Acute/Chronic Hospital,Geraldton District Hospital,Geraldton District Hospital,Facilities used for hospital purposes,500 Hogarth Avenue,Geraldton,P0T1M0,706608.0105,14.98809287
2012,Public Hospital,Acute/Chronic Hospital,Goderich Alexandra Marine and General Hospital,Alexandra Marine and General Hospital,Facilities used for hospital purposes,120 Napier Street,Goderich,N7A1W5,727701.2055,19.87478456
2012,Public Hospital,Acute/Chronic Hospital,Goderich Alexandra Marine and General Hospital,Clinton Community Mental Health,Administrative offices and related facilities,56 Mary,Clinton,N0M1L0,1277.910626,2.030038067
2012,Public Hospital,Acute/Chronic Hospital,Goderich Alexandra Marine and General Hospital,Exeter Community Mental Health,Administrative offices and related facilities,303 Main Street,Exeter,N0M1S3,5629.054078,7.574507959
2012,Public Hospital,Acute/Chronic Hospital,Goderich Alexandra Marine and General Hospital,Goderich Community Mental Health,Administrative offices and related facilities,274 Huron Road,Goderich,N7A3A5,3799.620756,3.964408428
2012,Public Hospital,Acute/Chronic Hospital,Goderich Alexandra Marine and General Hospital,Wingham Community Mental Health,Administrative offices and related facilities,253 Josephine Street,Wingham,N0G2W0,3798.95824,7.301388069
2012,Public Hospital,Acute Hospital,Guelph General Hospital,Guelph General Hospital,Facilities used for hospital purposes,115 Delhi St,Guelph,N1E4J4,3757690.166,18.39611548
2012,Public Hospital,Acute/Chronic Hospital,Guelph St. Joseph's Health Care,St. Joseph's Health Centre Guelph,Facilities used for hospital purposes,100 Westmount Road,Guelph,N1H5H8,1901154.655,13.05874144
2012,Public Hospital,Acute Hospital,Hagersville West Haldimand General Hospital,West Haldimand General Hospital,Facilities used for hospital purposes,75 Parkview Road,Hagersville,N0A1H0,599748.6563,18.24515051
2012,Public Hospital,Acute Hospital,Hagersville West Haldimand General Hospital,WHGH - Health Care Centre,Facilities used for hospital purposes,75 Parkview Road,Hagersville,N0A1H0,130195.9431,18.16253596
2012,Public Hospital,Acute Hospital,Hagersville West Haldimand General Hospital,WHGH Maintenance Building,Administrative offices and related facilities,75 Parkview Road,Hagersville,N0A1H0,8691.568489,12.60921646
2012,Public Hospital,Acute Hospital,Haliburton Highlands Health Services,HHHS - Haliburton Facility,Administrative offices and related facilities, 7199 Gelert Road PO Box 115,Haliburton,K0M1S0,325814.0923,11.3833464
2012,Public Hospital,Acute Hospital,Haliburton Highlands Health Services,HHHS - Minden Facility,Administrative offices and related facilities,6 MacPherson Street PO Box 30,Minden,K0M2K0,354043.1253,6.585992094
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Addiction Services - Mens Withdrawal,Facilities used for hospital purposes,595 Main St East,Hamilton,L8M1J7,24948.71085,7.287836852
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Bruce building,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,62217.82475,13.16948844
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  East Pavillion,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,47629.11621,13.16943701
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Evel building,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,325840.364,13.16954997
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Ewart building,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,154393.0201,13.16950186
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Patterson building,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,134363.0217,13.16961616
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Southam building,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,155743.8748,13.1695742
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Wilcox,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,842100.3716,13.16955505
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke Central Building,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,296229.4289,13.16953674
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke Holbrook,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,636373.9971,13.16955224
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke West Quarters,Facilities used for hospital purposes,559 Sanatorium Rd,Hamilton,L9C1C4,80175.96536,13.16965484
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,"David Braley Cardiac, Vascular, and Stroke Institute",Facilities used for hospital purposes,20 Copeland Ave,Hamilton,L8L8E7,3351856.88,33.54481576
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Hamilton General Hospital,Facilities used for hospital purposes,237 Barton St,Hamilton,L8L2X2,12510457.33,33.54481453
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Juravinski Cancer Centre,Facilities used for hospital purposes,711 Concession Street,Hamilton,L8V1C3,5976527.916,59.37383877
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Juravinski Hospital,Facilities used for hospital purposes,711 Concession Street,Hamilton,L8V1C3,9336019.792,60.14658557
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,McMaster University Medical Centre,Facilities used for hospital purposes,1200 Main Street West,Hamilton,L8S4J9,15675411.42,36.89081955
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,New Juravinski Wings B&C,Facilities used for hospital purposes,711 Concession Street,Hamilton,L8V1C3,6311298.04,59.39562603
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Regional Rehabilitation Centre,Facilities used for hospital purposes,300 Wellington Ave N.,Hamilton,L8L8E7,1420899.438,33.54481308
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,St Peters Hospital,Facilities used for hospital purposes,88 Maplewood Ave,Hamilton,L8M1W9,1475982.839,17.82542812
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,West Lincoln Memorial Hospital,Facilities used for hospital purposes,169 Main St E,Grimsby,L3M1P3,784340.8549,23.27983677
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,WLMH Alexander Globe Center,Facilities used for hospital purposes,167 Main Street East,Grimsby,L3M1P3,9152.817412,11.34402255
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,WLMH Deer Park Villa,Facilities used for hospital purposes,150 Central Ave,Grimsby,L3M4Z3,23211.2357,15.35322702
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Bruce building,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,1410.895282,13.16222854
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Ewart building,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,30340.5878,13.16929618
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Res 37,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,26768.86255,13.16973854
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Southam building,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,8681.99027,13.17044047
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke  Wilcox,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,21665.3585,13.16913879
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke Empire Building,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,88750.59213,13.16946097
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke Holbrook,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,1158.301326,13.17330565
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Chedoke West Quarters,Administrative offices and related facilities,559 Sanatorium Rd,Hamilton,L9C1C4,29907.0698,13.16926515
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,"David Braley Cardiac, Vascular, and Stroke Institute",Administrative offices and related facilities,20 Copeland Ave,Hamilton,L8L8E7,6093.665602,33.54481308
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Hamilton General Hospital,Administrative offices and related facilities,237 Barton St,Hamilton,L8L2X2,67657.80444,33.544908
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Hospital Library at General Hospital,Administrative offices and related facilities,286 Victoria Ave,Hamilton,L8L2X5,18207.64629,6.105360928
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Juravinski Cancer Centre,Administrative offices and related facilities,711 Concession Street,Hamilton,L8V1C3,71816.04371,59.37313151
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Juravinski Hospital,Administrative offices and related facilities,711 Concession Street,Hamilton,L8V1C3,49542.47673,60.14594987
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,McMaster University Medical Centre,Administrative offices and related facilities,1200 Main Street West,Hamilton,L8S4J9,56940.14107,36.89081956
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,New Juravinski Wings B&C,Administrative offices and related facilities,711 Concession Street,Hamilton,L8V1C3,4728.680266,59.40677002
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,Regional Rehabilitation Centre,Administrative offices and related facilities,300 Wellington Ave N.,Hamilton,L8L8E7,542318.316,33.54481308
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,St Peters Hospital,Administrative offices and related facilities,88 Maplewood Ave,Hamilton,L8M1W9,689857.5767,17.82544204
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,West Lincoln Memorial Hospital,Administrative offices and related facilities,169 Main St E,Grimsby,L3M1P3,40492.55833,23.27983677
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,WLMH Alexander Globe Center,Administrative offices and related facilities,167 Main Street East,Grimsby,L3M1P3,9152.817412,11.34402255
2012,Public Hospital,Acute/Chronic Hospital,Hamilton Health Sciences Corporation,WLMH Deer Park Villa,Administrative offices and related facilities,150 Central Ave,Grimsby,L3M4Z3,23211.2357,15.35322702
2012,Public Hospital,Acute Hospital,Hanover and District Hospital,Hanover and District Hospital,Facilities used for hospital purposes,90 th Avenue,Hanover,N4N1N1,949165.9656,20.4497452
2012,Public Hospital,Acute/Chronic Hospital,Hearst Notre Dame Hospital,H“pital Notre-Dame Hospital (Hearst),Facilities used for hospital purposes,1405 Edward Street,Hearst,P0L1N0,742411.4431,12.36197343
2012,Public Hospital,Acute/Chronic Hospital,Hearst Notre Dame Hospital,H“pital Notre-Dame Hospital (Hearst),Administrative offices and related facilities,1405 Edward Street,Hearst,P0L1N0,35816.56476,2.943313831
2012,Public Hospital,Acute/Chronic Hospital,H“pital G‚n‚ral de Hawkesbury & District General Hospital,Hawkesbury and District General Hospital,Facilities used for hospital purposes,1111 Ghislain Steet,Hawkesbury,K6A3G5,1028442.755,14.90473109
2012,Public Hospital,Acute/Chronic Hospital,H“pital G‚n‚ral de Hawkesbury & District General Hospital,Hawkesbury and District General Hospital,Administrative offices and related facilities,444 Mcgill Street,Hawkesbury,K6A1R2,29402.80618,10.83760525
2012,Public Hospital,Acute/Chronic Hospital,H“pital G‚n‚ral de Hawkesbury & District General Hospital,Hawkesbury and District General Hospital,Administrative offices and related facilities,175 Maint Street West,Hawkesbury,K6A2H3,6196.184162,4.91028069
2012,Public Hospital,Acute/Chronic Hospital,H“pital G‚n‚ral de Hawkesbury & District General Hospital,Hawkesbury and District General Hospital,Administrative offices and related facilities,352 Main Steet West,Hawkesbury,K6A2N2,8121.219809,3.545765031
2012,Public Hospital,Acute Hospital,Hornepayne Community Hospital,Hornepayne Community Hospital,Facilities used for hospital purposes,278 Front Street,Hornepayne,P0M1Z0,60228.26866,14.31495356
2012,Public Hospital,Acute Hospital,Hornepayne Community Hospital,Hornepayne Community Hospital,Administrative offices and related facilities,278 Front Street,Hornepayne,P0M1Z0,48482.45181,7.618160786
2012,Public Hospital,Acute/Chronic Hospital,Huntsville Muskoka Algonquin Healthcare,Huntsville District Memorial Hospital,Facilities used for hospital purposes,354 Muskoka Rd N,Huntsville,P1H1H7,1517493.204,26.68363135
2012,Public Hospital,Acute/Chronic Hospital,Huntsville Muskoka Algonquin Healthcare,South Muskoka Memorial Hospital,Facilities used for hospital purposes,75 Ann Street,Bracebridge,P1L2E4,1702018.636,23.78352055
2012,Public Hospital,Acute/Chronic Hospital,Huntsville Muskoka Algonquin Healthcare,Huntsville District Memorial Hospital,Administrative offices and related facilities,354 Muskoka Rd N,Huntsville,P1H1H7,79868.06337,17.32095368
2012,Public Hospital,Acute/Chronic Hospital,Huntsville Muskoka Algonquin Healthcare,South Muskoka Memorial Hospital,Administrative offices and related facilities,75 Ann Street,Bracebridge,P1L2E4,89579.92823,15.43842562
2012,Public Hospital,Acute/Chronic Hospital,Iroquois Falls Anson General Hospital,Anson General Hospital,Facilities used for hospital purposes,58 Anson Drive,Iroquois Falls,P0K1E0,553565.4513,15.10547764
2012,Public Hospital,Acute/Chronic Hospital,Kapuskasing Sensenbrenner Hospital,Sensenbrenner Hospital,Facilities used for hospital purposes,101 Progress Crescent,Kapuskasing,P5N3H5,1126517.077,13.08467569
